datetime_str,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),surface_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2)
1/1/22 1:00,"(40.015, -105.2705)",tmy,1655.0,-7,-7.2,0,0,0
1/1/22 2:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.1,0,0,0
1/1/22 3:00,"(40.015, -105.2705)",tmy,1655.0,-7,-9.1,0,0,0
1/1/22 4:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,0,0,0
1/1/22 5:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,0,0,0
1/1/22 6:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,0,0,0
1/1/22 7:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,24,69,18
1/1/22 8:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.0,117,262,73
1/1/22 9:00,"(40.015, -105.2705)",tmy,1655.0,-7,-5.9,192,175,139
1/1/22 10:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.9,185,90,149
1/1/22 11:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.5,285,186,202
1/1/22 12:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.2,275,250,163
1/1/22 13:00,"(40.015, -105.2705)",tmy,1655.0,-7,-2.8,437,775,123
1/1/22 14:00,"(40.015, -105.2705)",tmy,1655.0,-7,-4.1,253,474,104
1/1/22 15:00,"(40.015, -105.2705)",tmy,1655.0,-7,-5.4,149,492,56
1/1/22 16:00,"(40.015, -105.2705)",tmy,1655.0,-7,-6.7,33,170,18
1/1/22 17:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.0,0,0,0
1/1/22 18:00,"(40.015, -105.2705)",tmy,1655.0,-7,-9.3,0,0,0
1/1/22 19:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/1/22 20:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/1/22 21:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/1/22 22:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/1/22 23:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/2/22 0:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/2/22 1:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/2/22 2:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.4,0,0,0
1/2/22 3:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.2,0,0,0
1/2/22 4:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,0,0,0
1/2/22 5:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.2,0,0,0
1/2/22 6:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.4,0,0,0
1/2/22 7:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,30,157,15
1/2/22 8:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.9,131,541,39
1/2/22 9:00,"(40.015, -105.2705)",tmy,1655.0,-7,-7.3,308,879,43
1/2/22 10:00,"(40.015, -105.2705)",tmy,1655.0,-7,-5.6,411,938,40
1/2/22 11:00,"(40.015, -105.2705)",tmy,1655.0,-7,-4.5,489,991,46
1/2/22 12:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.3,460,947,34
1/2/22 13:00,"(40.015, -105.2705)",tmy,1655.0,-7,-2.2,416,865,65
1/2/22 14:00,"(40.015, -105.2705)",tmy,1655.0,-7,-2.8,305,797,53
1/2/22 15:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.3,121,241,76
1/2/22 16:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.9,38,47,34
1/2/22 17:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.9,0,0,0
1/2/22 18:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.9,0,0,0
1/2/22 19:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.9,0,0,0
1/2/22 20:00,"(40.015, -105.2705)",tmy,1655.0,-7,-6.1,0,0,0
1/2/22 21:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.4,0,0,0
1/2/22 22:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/2/22 23:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.8,0,0,0
1/3/22 0:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.9,0,0,0
1/3/22 1:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.1,0,0,0
1/3/22 2:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.5,0,0,0
1/3/22 3:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.8,0,0,0
1/3/22 4:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.2,0,0,0
1/3/22 5:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.6,0,0,0
1/3/22 6:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.9,0,0,0
1/3/22 7:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.3,29,128,17
1/3/22 8:00,"(40.015, -105.2705)",tmy,1655.0,-7,-9.6,87,95,71
1/3/22 9:00,"(40.015, -105.2705)",tmy,1655.0,-7,-5.9,211,224,144
1/3/22 10:00,"(40.015, -105.2705)",tmy,1655.0,-7,-2.2,238,122,190
1/3/22 11:00,"(40.015, -105.2705)",tmy,1655.0,-7,-2.0,380,554,132
1/3/22 12:00,"(40.015, -105.2705)",tmy,1655.0,-7,-1.9,520,891,117
1/3/22 13:00,"(40.015, -105.2705)",tmy,1655.0,-7,-1.7,446,996,40
1/3/22 14:00,"(40.015, -105.2705)",tmy,1655.0,-7,-2.8,334,944,33
1/3/22 15:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.9,178,803,23
1/3/22 16:00,"(40.015, -105.2705)",tmy,1655.0,-7,-5.0,42,347,12
1/3/22 17:00,"(40.015, -105.2705)",tmy,1655.0,-7,-6.3,0,0,0
1/3/22 18:00,"(40.015, -105.2705)",tmy,1655.0,-7,-7.6,0,0,0
1/3/22 19:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.9,0,0,0
1/3/22 20:00,"(40.015, -105.2705)",tmy,1655.0,-7,-9.6,0,0,0
1/3/22 21:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.4,0,0,0
1/3/22 22:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.1,0,0,0
1/3/22 23:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,0,0,0
1/4/22 0:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.9,0,0,0
1/4/22 1:00,"(40.015, -105.2705)",tmy,1655.0,-7,-7.8,0,0,0
1/4/22 2:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.4,0,0,0
1/4/22 3:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.0,0,0,0
1/4/22 4:00,"(40.015, -105.2705)",tmy,1655.0,-7,-15.6,0,0,0
1/4/22 5:00,"(40.015, -105.2705)",tmy,1655.0,-7,-14.5,0,0,0
1/4/22 6:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.3,0,0,0
1/4/22 7:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.2,33,254,9
1/4/22 8:00,"(40.015, -105.2705)",tmy,1655.0,-7,-9.1,152,773,21
1/4/22 9:00,"(40.015, -105.2705)",tmy,1655.0,-7,-5.9,308,922,30
1/4/22 10:00,"(40.015, -105.2705)",tmy,1655.0,-7,-2.8,430,990,37
1/4/22 11:00,"(40.015, -105.2705)",tmy,1655.0,-7,-1.9,497,1016,41
1/4/22 12:00,"(40.015, -105.2705)",tmy,1655.0,-7,-0.9,503,1018,41
1/4/22 13:00,"(40.015, -105.2705)",tmy,1655.0,-7,0.0,447,997,38
1/4/22 14:00,"(40.015, -105.2705)",tmy,1655.0,-7,-1.9,318,860,42
1/4/22 15:00,"(40.015, -105.2705)",tmy,1655.0,-7,-3.7,156,638,32
1/4/22 16:00,"(40.015, -105.2705)",tmy,1655.0,-7,-5.6,40,238,18
1/4/22 17:00,"(40.015, -105.2705)",tmy,1655.0,-7,-6.5,0,0,0
1/4/22 18:00,"(40.015, -105.2705)",tmy,1655.0,-7,-7.4,0,0,0
1/4/22 19:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.3,0,0,0
1/4/22 20:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.9,0,0,0
1/4/22 21:00,"(40.015, -105.2705)",tmy,1655.0,-7,-9.4,0,0,0
1/4/22 22:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,0,0,0
1/4/22 23:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.7,0,0,0
1/5/22 0:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.5,0,0,0
1/5/22 1:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.2,0,0,0
1/5/22 2:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.6,0,0,0
1/5/22 3:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.9,0,0,0
1/5/22 4:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.3,0,0,0
1/5/22 5:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.7,0,0,0
1/5/22 6:00,"(40.015, -105.2705)",tmy,1655.0,-7,-14.0,0,0,0
1/5/22 7:00,"(40.015, -105.2705)",tmy,1655.0,-7,-14.4,14,2,14
1/5/22 8:00,"(40.015, -105.2705)",tmy,1655.0,-7,-14.0,96,98,79
1/5/22 9:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.7,201,281,116
1/5/22 10:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.3,383,740,89
1/5/22 11:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.6,414,654,120
1/5/22 12:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.8,474,831,96
1/5/22 13:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.1,433,829,92
1/5/22 14:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.2,326,881,41
1/5/22 15:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.3,163,603,44
1/5/22 16:00,"(40.015, -105.2705)",tmy,1655.0,-7,-14.4,44,320,15
1/5/22 17:00,"(40.015, -105.2705)",tmy,1655.0,-7,-16.1,0,0,0
1/5/22 18:00,"(40.015, -105.2705)",tmy,1655.0,-7,-17.7,0,0,0
1/5/22 19:00,"(40.015, -105.2705)",tmy,1655.0,-7,-19.4,0,0,0
1/5/22 20:00,"(40.015, -105.2705)",tmy,1655.0,-7,-19.6,0,0,0
1/5/22 21:00,"(40.015, -105.2705)",tmy,1655.0,-7,-19.8,0,0,0
1/5/22 22:00,"(40.015, -105.2705)",tmy,1655.0,-7,-20.0,0,0,0
1/5/22 23:00,"(40.015, -105.2705)",tmy,1655.0,-7,-20.6,0,0,0
1/6/22 0:00,"(40.015, -105.2705)",tmy,1655.0,-7,-21.1,0,0,0
1/6/22 1:00,"(40.015, -105.2705)",tmy,1655.0,-7,-21.7,0,0,0
1/6/22 2:00,"(40.015, -105.2705)",tmy,1655.0,-7,-22.2,0,0,0
1/6/22 3:00,"(40.015, -105.2705)",tmy,1655.0,-7,-22.8,0,0,0
1/6/22 4:00,"(40.015, -105.2705)",tmy,1655.0,-7,-23.3,0,0,0
1/6/22 5:00,"(40.015, -105.2705)",tmy,1655.0,-7,-22.6,0,0,0
1/6/22 6:00,"(40.015, -105.2705)",tmy,1655.0,-7,-21.8,0,0,0
1/6/22 7:00,"(40.015, -105.2705)",tmy,1655.0,-7,-21.1,30,209,11
1/6/22 8:00,"(40.015, -105.2705)",tmy,1655.0,-7,-18.1,147,718,25
1/6/22 9:00,"(40.015, -105.2705)",tmy,1655.0,-7,-15.2,303,883,36
1/6/22 10:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.2,425,955,44
1/6/22 11:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.2,457,804,94
1/6/22 12:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.1,451,719,123
1/6/22 13:00,"(40.015, -105.2705)",tmy,1655.0,-7,-6.1,393,540,170
1/6/22 14:00,"(40.015, -105.2705)",tmy,1655.0,-7,-7.4,292,583,102
1/6/22 15:00,"(40.015, -105.2705)",tmy,1655.0,-7,-8.7,147,388,69
1/6/22 16:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.0,41,223,21
1/6/22 17:00,"(40.015, -105.2705)",tmy,1655.0,-7,-10.6,0,0,0
1/6/22 18:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.1,0,0,0
1/6/22 19:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.7,0,0,0
1/6/22 20:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.5,0,0,0
1/6/22 21:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.3,0,0,0
1/6/22 22:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.1,0,0,0
1/6/22 23:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.5,0,0,0
1/7/22 0:00,"(40.015, -105.2705)",tmy,1655.0,-7,-11.8,0,0,0
1/7/22 1:00,"(40.015, -105.2705)",tmy,1655.0,-7,-12.2,0,0,0
1/7/22 2:00,"(40.015, -105.2705)",tmy,1655.0,-7,-13.9,0,0,0
1/7/22 3:00,"(40.015, -105.2705)",tmy,1655.0,-7,-15.5,0,0,0
